,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
115,Kubot L.,372,200,1471.2004908201495,34,1482.7241025048347,1,1483.3926878838479,0,1500.0,60,1371.7649317012988,81,1496.5709742756133,24,1553.342104464073
116,Giraldo S.,751,326,1510.3090902552804,25,1441.1872047059796,1,1483.4435542052877,9,1488.8824532265446,120,1502.4221424712257,142,1530.4427011760292,29,1495.6985494461167
117,Anderson K.,4310,598,1784.862464287694,86,1680.4659888048689,0,1500.0,0,1500.0,323,1691.8694646847666,113,1640.3116275803566,76,1738.991995996276
118,Berankis R.,809,249,1596.107519254897,67,1542.2509376539367,0,1500.0,0,1500.0,122,1477.185736383188,36,1355.4570055902757,24,1398.7612596118327
119,Fish M.,2965,500,1704.88938972343,74,1629.6647794063547,14,1478.8871409680987,0,1500.0,287,1687.3657396886426,53,1487.2912821716147,72,1598.562119066578
120,Duckworth J.,487,149,1554.6504994996317,19,1541.519802384902,0,1500.0,0,1500.0,93,1429.2250606630348,14,1434.1382201223116,23,1456.1536357751404
121,Tomic B.,386,349,1548.5963953133296,36,1434.358950769098,0,1500.0,0,1500.0,182,1610.0834729804255,68,1509.8069628032438,63,1578.0676838700836
122,Muller G.,1255,399,1625.3291049132947,71,1566.6090100316628,7,1462.0951908667994,0,1500.0,188,1635.6230683448443,54,1506.3929555150107,79,1627.3540432961688
123,Ito T.,473,84,1461.5825113043531,10,1482.2252078014737,0,1500.0,0,1500.0,46,1412.6960153471628,9,1474.2937070124954,19,1489.592504904748
124,Petzschner P.,585,189,1585.9395961105706,50,1579.2633215342391,2,1468.154988154821,0,1500.0,60,1490.0414043394915,39,1390.5653849392875,38,1538.2493295173338
125,Andreev I.,415,432,1612.3789466696016,31,1407.0359195873496,28,1532.8020019652652,2,1500.0,141,1619.3847376846575,197,1700.994909981809,33,1503.1650267786185
126,Millman J.,1205,256,1618.237694717197,43,1497.9310686733374,0,1500.0,0,1500.0,135,1629.0294164005686,47,1440.6720890358404,31,1519.2436880455714
127,Dimitrov G.,1460,682,1875.4792896724084,137,1768.026102082811,0,1500.0,0,1500.0,316,1732.404131462982,157,1659.2162376473325,72,1629.7524883641565
128,Goffin D.,2975,525,1796.5023027943448,120,1673.5535333005525,0,1500.0,0,1500.0,209,1826.2323095172908,143,1740.6110500692473,53,1642.6605815802927
129,Matosevic M.,808,155,1570.3181775455253,21,1521.991178785172,0,1500.0,0,1500.0,88,1519.6344933826813,26,1428.564601741566,20,1455.25005570643
130,Cilic M.,2140,858,1716.6634405631353,166,1629.949850555208,21,1559.571288150929,0,1500.0,353,1681.0252971249624,208,1673.3396744306149,110,1819.1779536374133
131,Mahut N.,324,403,1530.451222062413,98,1494.5045374311317,18,1406.7515474295083,0,1500.0,123,1494.611631222003,56,1440.0965057743072,108,1588.485670824703
132,Chardy J.,1110,593,1616.0239474727944,85,1544.0594198826425,6,1496.9231747556566,3,1484.7347485663738,240,1568.7368191081337,196,1564.4599583685065,63,1495.2204476874097
133,Copil M.,608,128,1615.1546988159337,38,1569.2807346192203,0,1500.0,0,1500.0,44,1490.4213560002486,31,1365.117517923236,15,1439.0989562749592
134,Groth S.,843,93,1537.2067795198957,7,1467.3887513740153,0,1500.0,0,1500.0,52,1454.050817073644,9,1501.426234161197,25,1540.6614649128433
135,Kokkinakis T.,664,134,1497.5119644222077,4,1432.0458361355409,0,1500.0,0,1500.0,102,1497.936185796636,18,1503.1147048747787,10,1511.6843619639305
136,Kukushkin M.,930,355,1663.785192226643,96,1602.5891356129296,4,1469.727071437409,0,1500.0,135,1563.682448599529,82,1396.2651513381966,38,1506.8252770936335
