,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
35315,True,0.7684712009672785,665,1355,0,0.4866038422923019,0,0.3704223304419395,0,0.1596517739936033,1,0.4579949290750357
35314,False,0.8890810273631102,0,475,0,0.2325070400979351,0,0.2303838182091712,0,0.13202918399252284,1,0.21934288030203586
35299,False,0.3198487413566576,20,399,0,0.3894140215907417,0,0.6496666722523348,0,0.7863458803076275,1,0.514575750191901
35319,False,0.7954926828802154,524,9235,0,0.15551572426579252,0,0.13643068467899078,0,0.0619602453121596,1,0.31710544463408574
35321,True,0.3051585272227988,0,0,0,0.3821466039717413,0,0.4026171606320117,0,0.4155109533175525,1,0.7410169229903512
35318,False,0.5928164529677786,537,630,0,0.45010292221475645,0,0.6173160988099253,0,0.48478847680182946,1,0.4056246602051322
35322,True,0.5784242726123328,540,469,0,0.5891393101523132,0,0.558625986287324,0,0.5837340878386164,1,0.4540857694185772
35326,False,0.472821673703512,399,0,0,0.5801379519833625,0,0.524404142935058,0,0.5007953626910602,1,0.47783327213076987
35323,False,0.7971395759434511,611,805,0,0.4442384553192189,0,0.33261340680247875,0,0.2645824844037782,1,0.3617540988280763
35325,False,0.3345525688163043,1405,239,0,0.37253361268233554,0,0.5460471092118007,0,0.7667166368500181,1,0.5084264755567821
35326,True,0.527178326296488,0,399,0,0.4198620480166375,0,0.475595857064942,0,0.4992046373089399,1,0.5221667278692301
35327,True,0.373779827711763,620,0,0,0.7213037908832362,0,0.6485000468109232,0,0.5832074829396225,1,0.6043191847001066
35325,True,0.6654474311836958,239,1405,0,0.6274663873176645,0,0.4539528907881994,0,0.2332833631499819,1,0.4915735244432179
35317,True,0.6591825946746487,150,443,0,0.609786590962442,0,0.490351359508626,0,0.5412786138907557,1,0.3208842900697145
35324,False,0.7734273197306046,551,1190,0,0.16554949569425637,0,0.2237112378332463,0,0.256858498704692,1,0.3183551446379931
35316,False,0.3649841343193524,0,671,0,0.5894142637124682,0,0.49892390350993543,0,0.7224327607263693,1,0.5080595028927538
35323,True,0.20286042405654892,805,611,0,0.5557615446807811,0,0.6673865931975212,0,0.7354175155962218,1,0.6382459011719237
35324,True,0.22657268026939537,1190,551,0,0.8344505043057436,0,0.7762887621667537,0,0.743141501295308,1,0.6816448553620069
35327,False,0.626220172288237,0,620,0,0.27869620911676385,0,0.3514999531890768,0,0.41679251706037745,1,0.3956808152998934
35316,True,0.6350158656806476,671,0,0,0.4105857362875318,0,0.5010760964900646,0,0.2775672392736307,1,0.4919404971072462
35317,False,0.3408174053253513,443,150,0,0.39021340903755797,0,0.509648640491374,0,0.4587213861092443,1,0.6791157099302856
35318,True,0.40718354703222137,630,537,0,0.5498970777852435,0,0.3826839011900747,0,0.5152115231981705,1,0.5943753397948678
35319,True,0.20450731711978465,9235,524,0,0.8444842757342075,0,0.8635693153210092,0,0.9380397546878404,1,0.6828945553659143
35321,False,0.6948414727772012,0,0,0,0.6178533960282586,0,0.5973828393679883,0,0.5844890466824475,1,0.25898307700964884
35322,False,0.4215757273876673,469,540,0,0.41086068984768676,0,0.44137401371267604,0,0.41626591216138364,1,0.5459142305814229
35328,True,0.3054214412937981,106,665,0,0.6759871907773684,0,0.5832174119096374,0,0.7310402552397082,1,0.6445078075303705
35332,True,0.20255174432549006,9235,630,0,0.7987138430536689,0,0.9509086907613892,0,0.925252845876435,1,0.6933967268137411
35333,False,0.6385728126096932,805,1730,0,0.4085267233660045,0,0.36573096071244937,0,0.346087641390348,1,0.3995994111219454
35334,False,0.8579152867741665,0,1190,0,0.16135456710089546,0,0.09303980240107323,0,0.19870851556767377,1,0.2989201009185559
35335,True,0.4293253413274666,620,239,0,0.5291171232293245,0,0.6040400670733541,0,0.5952510220394959,1,0.5875012832493318
35328,False,0.6945785587062019,665,106,0,0.32401280922263165,0,0.4167825880903626,0,0.26895974476029183,1,0.3554921924696295
35329,False,0.5057469447775468,150,671,0,0.6910443612572061,0,0.4544712712558526,0,0.5611994999653078,1,0.40595894948117295
35330,False,0.757246991951381,540,0,0,0.5197863473840133,0,0.5618631743741829,0,0.4219574669995446,1,0.2905815039116292
35332,False,0.7974482556745099,630,9235,0,0.20128615694633112,0,0.049091309238610825,0,0.07474715412356503,1,0.3066032731862589
35333,True,0.36142718739030677,1730,805,0,0.5914732766339955,0,0.6342690392875506,0,0.653912358609652,1,0.6004005888780546
35334,True,0.1420847132258335,1190,0,0,0.8386454328991045,0,0.9069601975989268,0,0.8012914844323262,1,0.7010798990814441
35335,False,0.5706746586725334,239,620,0,0.47088287677067553,0,0.3959599329266459,0,0.40474897796050413,1,0.4124987167506682
35329,True,0.4942530552224532,671,150,0,0.3089556387427939,0,0.5455287287441474,0,0.4388005000346922,1,0.594041050518827
35330,True,0.242753008048619,0,540,0,0.4802136526159867,0,0.4381368256258171,0,0.5780425330004554,1,0.7094184960883708
35336,False,0.6232650802370533,620,1730,0,0.5405958742503154,0,0.5470939397193828,0,0.3983503313600574,1,0.44070306577732976
35337,True,0.39282141169455753,1190,0,0,0.8402031886415579,0,0.8697356442495204,0,0.6467389456518997,1,0.5287947445461171
35336,True,0.3767349197629467,1730,620,0,0.4594041257496846,0,0.4529060602806172,0,0.6016496686399426,1,0.5592969342226702
35337,False,0.6071785883054425,0,1190,0,0.15979681135844215,0,0.13026435575047957,0,0.3532610543481003,1,0.4712052554538829
35338,False,0.610483957265079,475,9235,0,0.36215124106579355,0,0.19775715147783457,0,0.23019683155463944,1,0.4451693065628862
35339,True,0.29645713207782487,106,671,0,0.6935610254251776,0,0.5396230767997281,0,0.8364388164798263,1,0.5624536721833502
35338,True,0.389516042734921,9235,475,0,0.6378487589342065,0,0.8022428485221654,0,0.7698031684453606,1,0.5548306934371138
35339,False,0.7035428679221751,671,106,0,0.3064389745748224,0,0.4603769232002719,0,0.16356118352017368,1,0.4375463278166498
35341,False,0.4819400632732294,1730,1190,0,0.25824985826694413,0,0.24091225208641243,0,0.576198385274338,1,0.4985294080180289
35341,True,0.5180599367267706,1190,1730,0,0.7417501417330559,0,0.7590877479135876,0,0.4238016147256621,1,0.5014705919819711
35340,False,0.7389888392632954,106,9235,0,0.2769083116462411,0,0.0913995709899118,0,0.18858406164656583,1,0.3182373698019678
35340,True,0.2610111607367046,9235,106,0,0.7230916883537589,0,0.9086004290100882,0,0.8114159383534342,1,0.6817626301980322
35342,False,0.6608826030924537,1190,9235,0,0.5060344971734962,0,0.32144575056158553,0,0.13799528763123325,1,0.3836163914480505
35342,True,0.3391173969075463,9235,1190,0,0.4939655028265037,0,0.6785542494384145,0,0.8620047123687667,1,0.6163836085519495
36188,False,0.3531603980173229,616,438,0,0.7210352577717368,0,0.681610666428685,1,0.4572480545985599,0,0.6901824423001695
37665,True,0.18599152072217873,873,0,0,0.7353310671370888,0,0.7675530401285241,1,0.6589318401800067,0,0.6978817624713122
37665,False,0.8140084792778213,0,873,0,0.26466893286291115,0,0.2324469598714759,1,0.3410681598199933,0,0.3021182375286878
37658,True,0.47697414120988024,552,150,0,0.4754812217584052,0,0.4580423778760587,1,0.6982506506590633,0,0.5126588303534179
36188,True,0.6468396019826771,438,616,0,0.2789647422282632,0,0.3183893335713151,1,0.5427519454014401,0,0.3098175576998306
37662,False,0.3418886397784572,863,630,0,0.609393482026886,0,0.363985359775043,1,0.43718661244297696,0,0.6734834933161085
37658,False,0.5230258587901198,150,552,0,0.5245187782415948,0,0.5419576221239413,1,0.30174934934093667,0,0.48734116964658214
37662,True,0.6581113602215428,630,863,0,0.3906065179731139,0,0.636014640224957,1,0.562813387557023,0,0.3265165066838916
37666,True,0.8781816486951365,424,2095,0,0.5022802802830496,0,0.1986336177332035,1,0.1420888520412249,0,0.1922305713240084
37667,True,0.6231804879233427,1005,3030,0,0.3211086104725996,0,0.3994035414297814,1,0.5355189389964611,0,0.3655532507135841
